,y,max_cluster,max_random,netw_size,p1,p_si,p_ri,p_sw,k
2245,0.6593800195867208,1.0,0.9953125,80,0.6722912182045416,0.14490998731990656,0.15497684563209146,0.6484677232291636,6
2246,0.6552120914014598,1.0,0.9946938775510205,70,0.8004310026320417,0.6806518240203685,0.6464676217280398,0.1811221858413571,6
2247,0.6492456493205105,1.0,0.9979224376731302,38,0.8460757248168752,0.7820254520719936,0.2399952212218489,0.47963855654991694,8
2248,0.6541545494244095,1.0,0.9953512396694215,44,0.865171595238015,0.011069637070141636,0.6742617111021999,0.9789031075167319,6
2249,0.3183795476892822,1.0,0.70703125,48,0.11511989959893887,0.24298092341804178,0.8760644641684663,0.7731151445726278,10
2250,0.617994904969361,1.0,0.95578125,80,0.6860686815394748,0.15806269744240653,0.6326455397822487,0.5552021643401278,4
2251,0.4368972421409478,1.0,0.7961747397012223,94,0.05701962746771727,0.514624672940654,0.6623063598028103,0.037876915905241226,10
2252,0.621069682244124,1.0,0.9655612244897959,28,0.6665188057556046,0.7105165904817871,0.7184463675527826,0.2153404666637111,4
2253,0.6276020388311735,1.0,0.9987244897959183,28,0.29121558055784624,0.8560467967986717,0.0245893951861631,0.4935837116057634,10
2254,-1.9945716059612817,1.0,0.000679040289723857,94,0.009624981238732788,0.7888737834080626,0.6674394183402164,0.4867516449293072,4
2255,-1.939738629510509,1.0,0.007922136713444997,94,0.031947209593414905,0.5093056031768605,0.6856758912633855,0.441357470688148,10
2256,0.6516371449854331,1.0,0.9933333333333333,60,0.6482730119737489,0.08027043908125953,0.14989191889898312,0.23592441164753275,6
2257,0.48557360488295787,1.0,0.833740234375,64,0.46190460939802747,0.7754530750251974,0.6799343949450707,0.07971987783481194,4
2258,0.614107528110757,1.0,1.0,22,0.839771158246602,0.42693920624774384,0.3991855644200224,0.5671576033260755,10
2259,0.6622342347528178,1.0,0.998015873015873,84,0.9075959440833242,0.7353672714805439,0.9420023292378259,0.6803259235204052,6
2260,0.6618045631378552,1.0,1.0,86,0.9706523039173739,0.9667823934845123,0.26249483202369595,0.09437529630165875,10
2261,0.651066776621839,1.0,1.0,40,0.9739060141038953,0.7935762250795487,0.5907253055682119,0.24645081148970327,10
2262,-1.7629280625143646,1.0,0.03222222222222222,30,0.04705161362525867,0.5555804381433936,0.7345144454527983,0.13596033814056052,8
2263,0.5819290851072376,1.0,0.9275,40,0.38141822257143765,0.3168349060545872,0.3513781559826279,0.4000227210602716,6
2264,0.6499442429965281,1.0,0.998109640831758,46,0.7375898531156915,0.9186647584450389,0.14832954816726518,0.6882849015158491,6
2265,0.6575326412659677,1.0,0.9965706447187929,54,0.7019209021990112,0.4264369576240198,0.18473489780561392,0.6181244108440852,6
2266,0.5702499496207544,1.0,0.9082409972299169,76,0.14516185231458445,0.9010316381134685,0.5155062205604631,0.5563376018237246,10
2267,-1.9890183944563826,1.0,0.002066115702479339,66,0.1046484876629874,0.5158440345338627,0.967591666532515,0.30062171489888523,4
2268,0.6370949057101777,1.0,0.9816666666666667,60,0.46993622218160325,0.9705935114526972,0.4285779460493675,0.09202344658594808,8
2269,0.5709465791940018,1.0,1.0,12,0.7988295274658299,0.6966578140281805,0.09659651700177929,0.9470465921766443,10
2270,-1.990915567876711,1.0,0.0015844273426889996,94,0.11062327743122491,0.9765942733800869,0.1958680082304457,0.03219332956835075,6
2271,0.5553664508728833,1.0,0.8881,100,0.2549928596273273,0.7563237208158905,0.6979262726175263,0.2998417390243283,8
2272,0.4809927122316327,1.0,0.9030612244897959,14,0.3623549346587829,0.00045427637387551734,0.38694240216384823,0.5544375884033989,6
2273,0.65308592750514,1.0,0.9924768518518519,72,0.6131493168958686,0.6336114698130119,0.30039743487409265,0.43211834150794004,8
2274,0.6405211110736104,1.0,0.9988888888888889,30,0.932313077740217,0.23128849274385987,0.7962110294289494,0.8106643412680294,10
2275,0.5017421602787456,1.0,1.0,10,0.2980937738353937,0.6637963846797088,0.011504457634307297,0.9384984800922196,8
2276,-1.9329531825761286,1.0,0.012345679012345678,36,0.055339976189371365,0.44536623493997674,0.5069920026298622,0.6296719554440813,6
2277,-1.9999827520930393,1.0,0.0011505588428665351,78,0.1254094687200914,0.7522495643142663,0.2968614909444658,0.32780678860082235,4
2278,0.6356440673026076,1.0,0.9988888888888889,30,0.8786451712400895,0.08470674716043092,0.5992436164108423,0.2959049584904945,10
2279,0.6513728761604572,1.0,0.9890046296296297,72,0.7487317995909731,0.35820789526207275,0.25578002903482855,0.6059299572863093,4
2280,0.6309232128871868,1.0,0.978515625,32,0.6327293408874191,0.8540218921839621,0.7389105982809919,0.9147662043289319,8
